Time,Machine name,Batch
00:00:29.540,T3X0_001,Default
00:00:59.789,T3X0_001,Default
00:01:30.053,T3X0_001,Default
00:02:00.332,T3X0_001,Default
00:02:30.612,T3X0_001,Default
00:03:00.892,T3X0_001,Default
00:03:31.171,T3X0_001,Default
00:04:01.435,T3X0_001,Default
00:04:31.730,T3X0_001,Default
00:05:01.994,T3X0_001,Default
00:05:32.274,T3X0_001,Default
00:06:02.554,T3X0_001,Default
00:06:32.818,T3X0_001,Default
00:07:03.128,T3X0_001,Default
00:07:33.392,T3X0_001,Default
00:08:03.641,T3X0_001,Default
00:08:33.905,T3X0_001,Default
00:09:04.169,T3X0_001,Default
00:09:34.433,T3X0_001,Default
00:10:04.712,T3X0_001,Default
00:10:34.961,T3X0_001,Default
00:11:05.240,T3X0_001,Default
00:11:35.520,T3X0_001,Default
00:12:05.784,T3X0_001,Default
00:12:36.064,T3X0_001,Default
00:13:06.328,T3X0_001,Default
00:13:36.592,T3X0_001,Default
00:14:06.871,T3X0_001,Default
00:14:37.151,T3X0_001,Default
00:15:07.462,T3X0_001,Default
00:15:37.694,T3X0_001,Default
00:16:07.958,T3X0_001,Default
00:16:38.254,T3X0_001,Default
00:17:08.533,T3X0_001,Default
00:17:38.813,T3X0_001,Default
00:18:09.061,T3X0_001,Default
00:18:39.325,T3X0_001,Default
00:19:09.605,T3X0_001,Default
00:19:39.853,T3X0_001,Default
00:20:10.133,T3X0_001,Default
00:20:40.381,T3X0_001,Default
00:21:10.645,T3X0_001,Default
00:21:40.925,T3X0_001,Default
00:22:11.220,T3X0_001,Default
00:22:41.484,T3X0_001,Default
00:23:11.748,T3X0_001,Default
00:23:42.028,T3X0_001,Default
00:24:12.292,T3X0_001,Default
00:24:42.556,T3X0_001,Default
00:25:12.835,T3X0_001,Default
00:25:43.099,T3X0_001,Default
00:26:13.363,T3X0_001,Default
00:26:43.643,T3X0_001,Default
00:27:13.907,T3X0_001,Default
00:27:44.171,T3X0_001,Default
00:28:14.450,T3X0_001,Default
00:28:44.746,T3X0_001,Default
00:29:15.010,T3X0_001,Default
00:29:45.274,T3X0_001,Default
00:30:15.538,T3X0_001,Default
00:30:45.817,T3X0_001,Default
00:31:16.081,T3X0_001,Default
00:31:46.345,T3X0_001,Default
00:32:16.640,T3X0_001,Default
00:32:46.904,T3X0_001,Default
00:33:17.200,T3X0_001,Default
00:33:47.448,T3X0_001,Default
00:34:17.728,T3X0_001,Default
00:34:47.992,T3X0_001,Default
00:35:18.256,T3X0_001,Default
00:35:48.520,T3X0_001,Default
00:36:18.784,T3X0_001,Default
00:36:49.032,T3X0_001,Default
00:37:19.296,T3X0_001,Default
00:37:49.560,T3X0_001,Default
00:38:19.824,T3X0_001,Default
00:38:50.104,T3X0_001,Default
00:39:20.368,T3X0_001,Default
00:39:50.632,T3X0_001,Default
00:40:20.880,T3X0_001,Default
00:40:51.160,T3X0_001,Default
00:41:21.424,T3X0_001,Default
00:41:51.703,T3X0_001,Default
00:42:21.983,T3X0_001,Default
00:42:52.262,T3X0_001,Default
00:43:22.542,T3X0_001,Default
00:43:52.806,T3X0_001,Default
00:44:23.086,T3X0_001,Default
00:44:53.365,T3X0_001,Default
00:45:23.629,T3X0_001,Default
00:45:53.909,T3X0_001,Default
00:46:24.173,T3X0_001,Default
00:46:54.437,T3X0_001,Default
00:47:24.715,T3X0_001,Default
00:47:54.978,T3X0_001,Default
00:48:25.241,T3X0_001,Default
00:48:55.489,T3X0_001,Default
00:49:25.752,T3X0_001,Default
00:49:56.015,T3X0_001,Default
00:50:26.278,T3X0_001,Default
00:50:56.525,T3X0_001,Default
00:51:26.773,T3X0_001,Default
00:51:57.067,T3X0_001,Default
00:52:27.331,T3X0_001,Default
00:52:57.595,T3X0_001,Default
00:53:27.859,T3X0_001,Default
00:53:58.138,T3X0_001,Default
00:54:28.433,T3X0_001,Default
00:54:58.697,T3X0_001,Default
00:55:28.976,T3X0_001,Default
00:55:59.240,T3X0_001,Default
00:56:29.504,T3X0_001,Default
00:56:59.768,T3X0_001,Default
00:57:30.032,T3X0_001,Default
00:58:00.296,T3X0_001,Default
00:58:30.528,T3X0_001,Default
00:59:00.792,T3X0_001,Default
00:59:31.056,T3X0_001,Default
01:00:01.320,T3X0_001,Default
01:00:31.584,T3X0_001,Default
01:01:01.848,T3X0_001,Default
01:01:32.128,T3X0_001,Default
01:02:02.423,T3X0_001,Default
01:02:32.672,T3X0_001,Default
01:03:02.951,T3X0_001,Default
01:03:33.215,T3X0_001,Default
01:04:03.464,T3X0_001,Default
01:04:33.728,T3X0_001,Default
01:05:04.023,T3X0_001,Default
